symbol,company name,marketCap,price,change,revenue,volume,industry,sector,revenueGrowth,netIncome,free_cash_flow,net_cash_debt
LPRO,Open Lending Corporation,1268073540.0,10.51,-0.1,167887000.0,663711.0,Credit Services,Financials,-24.278014568252036,56004000.0,104234000.0,64793000.0
AVDL,Avadel Pharmaceuticals plc,1265143232.0,16.48,11.05,,1909925.0,Drug Manufacturers - Specialty & Generic,Healthcare,,-141824000.0,-67208000.0,-14240000.0
SNCY,"Sun Country Airlines Holdings, Inc.",1264401088.0,22.48,2.88,962036000.0,1098599.0,Airlines,Industrials,33.259272392814786,52367000.0,-83683000.0,-419376000.0
SILK,"Silk Road Medical, Inc",1258292214.0,32.49,-0.4,150749000.0,625275.0,Medical Devices,Healthcare,40.30602272833037,-54708000.0,-33223000.0,114374000.0
INTR,"Inter & Co, Inc.",1257862434.0,3.13,3.3,,77176.0,Banks - Regional,Financials,,,,-670763442.9400387
GDEV,Nexters Inc.,1257447037.0,6.38,-1.85,479688000.0,9971.0,Electronic Gaming & Multimedia,Communication Services,10.503255055356675,7303000.0,115088000.0,136469000.0
NMFC,New Mountain Finance Corporation,1255656280.0,12.44,0.32,317620000.0,448786.0,Asset Management,Financials,16.680258913942716,83113000.0,76672000.0,-1947669000.0
AMWD,American Woodmark Corporation,1250680942.0,76.37,1.49,2066200000.0,169101.0,"Furnishings, Fixtures & Appliances",Consumer Discretionary,11.254338553058219,93723000.0,153500000.0,-436075000.0
IRBT,iRobot Corporation,1248633025.0,45.25,1.13,1051706000.0,439747.0,"Furnishings, Fixtures & Appliances",Consumer Discretionary,-32.309365737805685,-337001000.0,-92881000.0,-10666000.0
CASH,"Pathward Financial, Inc.",1247682044.0,46.36,-0.41,585049000.0,138517.0,Banks - Regional,Financials,5.02950453563793,128424000.0,-309534000.0,355055000.0
UPWK,Upwork Inc.,1246581780.0,9.34,3.43,637839000.0,1471300.0,Staffing & Employment Services,Industrials,20.230153718556497,-47980000.0,-834000.0,145210000.0
LGND,Ligand Pharmaceuticals Incorporated,1245347250.0,72.1,-0.69,194531000.0,87448.0,Biotechnology,Healthcare,-12.731147099726348,23973000.0,104547000.0,193989000.0
PLYA,Playa Hotels & Resorts N.V.,1239363840.0,8.14,0.25,910491000.0,1159455.0,Resorts & Casinos,Consumer Discretionary,34.59503567801534,56678000.0,131307000.0,-782926000.0
PTLO,Portillo's Inc.,1239174783.0,22.53,0.31,608683000.0,579289.0,Restaurants,Consumer Discretionary,10.243295473686299,16449000.0,1647000.0,-507638000.0
EMBC,Embecta Corp.,1237539600.0,21.6,-4.34,1118500000.0,782727.0,Drug Manufacturers - Specialty & Generic,Healthcare,-3.544325629527423,94400000.0,388599725.0,-1294700000.0
LKFN,Lakeland Financial Corporation,1233907268.0,48.52,-3.35,237707000.0,94894.0,Banks - Regional,Financials,7.01641440289571,104453000.0,143213000.0,-46479000.0
HPK,"HighPeak Energy, Inc.",1231365760.0,10.88,-8.11,887251000.0,943849.0,Oil & Gas E&P,Energy,209.53927629467336,303621000.0,-706958000.0,-814354000.0
FBNC,First Bancorp,1219497125.0,29.75,-3.06,379830000.0,135748.0,Banks - Regional,Financials,17.52274928294508,128128000.0,162925000.0,87263000.0
SSYS,Stratasys Ltd.,1217243689.0,17.76,-1.06,637431000.0,1635871.0,Computer Hardware,Technology,0.15271997096435452,-30250000.0,-90885000.0,270983000.0
DSGR,"Distribution Solutions Group, Inc.",1215543734.0,52.06,-0.12,1345607000.0,12916.0,Industrial Distribution,Industrials,144.8570461542941,15850000.0,-11342000.0,-429782000.0
OTLY,Oatly Group AB,1214256000.0,2.05,0.49,751697000.0,2276360.0,Beverages - Non-Alcoholic,Consumer Staples,12.306894717655425,-380685000.0,-446736000.0,-129826000.0
DH,Definitive Healthcare Corp.,1212365000.0,11.0,1.76,231730000.0,555477.0,Health Information Services,Healthcare,29.211227710185007,-9230000.0,28033000.0,70007000.0
IBRX,"ImmunityBio, Inc.",1212038278.0,2.78,2.21,586000.0,1566142.0,Biotechnology,Healthcare,-27.564894932014838,-430084000.0,-406132000.0,-674983000.0
MBUU,"Malibu Boats, Inc.",1209844902.0,58.66,-0.15,1369268000.0,149910.0,Recreational Vehicles,Consumer Discretionary,20.280781768686218,169852000.0,95304000.0,14898000.0
GDEN,"Golden Entertainment, Inc.",1205394960.0,41.8,0.02,1126126000.0,283178.0,Resorts & Casinos,Consumer Discretionary,-0.38611541356808887,57910000.0,95820000.0,-888006000.0
OSW,OneSpaWorld Holdings Limited,1202943280.0,12.1,2.54,641051000.0,1460880.0,Leisure,Consumer Discretionary,183.52041538407104,43571000.0,22291000.0,-192721000.0
STER,Sterling Check Corp.,1201851527.0,12.26,-1.37,754084000.0,158844.0,Software - Infrastructure,Technology,8.581598477147123,13765000.0,92944000.0,-468984000.0
CTIC,CTI BioPharma Corp.,1198789200.0,9.09,,75769000.0,11420980.0,Biotechnology,Healthcare,3201.4814814814813,-69239000.0,-82315000.0,-57444000.0
